       #NI      #im       #nc       #ic                                                      #SMILES
        6   000232         5      5018                                                      CC.CCCC
        6   000233         2      5020                                                      CC.CCCN
        6   000234         1      5021                                                     CC.CN.CN
        6   000235         2      5023                                                     CC.CN.CO
        6   000236        25      5048                                                     CC.CNC=O
        6   000237         3      5051                                                     CC.CO.CO
        6   000238         9      5060                                                    CC=C.CC=O
        6   000239         4      5064                                                     CC=C.CCC
        6   000240         2      5066                                                     CC=C.CCO
        6   000241         2      5068                                                     CC=CC=CO
        6   000242        25      5093                                                    CC=O.CC=O
        6   000243        32      5125                                                     CC=O.CCC
        6   000244        28      5153                                                     CC=O.CCN
        6   000245         3      5156                                                     CC=O.CCO
        6   000246         6      5162                                                   CCC(=C)C=C
        6   000247        73      5235                                                    CCC(=O)NC
        6   000248         7      5242                                                     CCC(C)CN
        6   000249        62      5304                                                    CCC(C=O)N
        6   000250         5      5309                                                      CCC.CCC
        6   000251         1      5310                                                      CCC.CCO
        6   000252         6      5316                                                     CCC=CC=C
        6   000253         4      5320                                                     CCC=O.CN
        6   000254         2      5322                                                     CCC=O.CO
        6   000255        71      5393                                                    CCCC(=O)N
        6   000256         6      5399                                                    CCCC(=O)O
        6   000257        36      5435                                                      CCCCC=O
        6   000258        14      5449                                                       CCCCCN
        6   000259         4      5453                                                      CCCNC=N
        6   000260        61      5514                                                      CCCNC=O
        6   000261         4      5518                                                    CCNC(=N)N
        6   000262        72      5590                                                    CCNC(=O)C
        6   000263         1      5591                                                     CN.CN.CO
        6   000264        11      5602                                                     CN.CNC=O
        6   000265         1      5603                                                     CN.CO.CO
        6   000266        78      5681                                                    CNC(=O)CN
        6   000267         3      5684                                                    CNCC(=O)N
        6   000268         1      5685                                                       CSCCCN
        6   000269         1      5686                                                  Cc1cnc[nH]1
        6   000270         3      5689                                                     c1ccccc1
        7   000271         1      5690                                             C(=N)(N)N.C(=O)N
        7   000272         1      5691                                               C(=N)N.C=O.C=O
        7   000273         4      5695                                                C(=N)N.C=O.CC
        7   000274         3      5698                                                C(=N)N.C=O.CN
        7   000275         1      5699                                               C(=N)N.CC(=O)N
        7   000276         1      5700                                                 C(=N)N.CNC=O
        7   000277        54      5754                                               C(=O)N.C(C=O)N
        7   000278         1      5755                                                C(=O)N.C(CO)N
        7   000279         2      5757                                               C(=O)N.C=C.C=O
        7   000280        19      5776                                                C(=O)N.C=C.CC
        7   000281         7      5783                                                C(=O)N.C=C.CN
        7   000282         3      5786                                                C(=O)N.C=C.CO
        7   000283        20      5806                                                C(=O)N.C=CC=C
        7   000284         2      5808                                                C(=O)N.C=N.CC
        7   000285         2      5810                                                C(=O)N.C=N.CN
        7   000286         6      5816                                               C(=O)N.C=O.C=O
        7   000287        79      5895                                                C(=O)N.C=O.CC
        7   000288        13      5908                                                C(=O)N.C=O.CN
        7   000289        10      5918                                                C(=O)N.C=O.CO
        7   000290         1      5919                                               C(=O)N.CC(=C)N
        7   000291        88      6007                                               C(=O)N.CC(=O)N
        7   000292         2      6009                                               C(=O)N.CC(=O)O
        7   000293         4      6013                                                C(=O)N.CC(C)C
        7   000294       122      6135                                                 C(=O)N.CC.CC
        7   000295        48      6183                                                 C(=O)N.CC.CN
        7   000296        12      6195                                                 C(=O)N.CC.CO
        7   000297         4      6199                                                 C(=O)N.CCC=C
        7   000298        49      6248                                                 C(=O)N.CCC=O
        7   000299         6      6254                                                  C(=O)N.CCCC
        7   000300        17      6271                                                  C(=O)N.CCCN
        7   000301         1      6272                                                 C(=O)N.CN.CN
        7   000302         8      6280                                                 C(=O)N.CN.CO
        7   000303         1      6281                                                 C(=O)N.CNC=N
        7   000304       112      6393                                                 C(=O)N.CNC=O
        7   000305         3      6396                                                 C(=O)N.CO.CO
        7   000306         1      6397                                               C(=O)O.C(C=O)N
        7   000307         4      6401                                                C(=O)O.C=C.CC
        7   000308         1      6402                                                C(=O)O.C=N.CN
        7   000309         4      6406                                                C(=O)O.C=O.CC
        7   000310         2      6408                                               C(=O)O.CC(=O)N
        7   000311         7      6415                                                 C(=O)O.CC.CC
        7   000312         2      6417                                                 C(=O)O.CC.CN
        7   000313         1      6418                                                 C(=O)O.CC.CO
        7   000314         2      6420                                                 C(=O)O.CCC=O
        7   000315         2      6422                                                  C(=O)O.CCCC
        7   000316         2      6424                                                  C(=O)O.CCCN
        7   000317         1      6425                                                 C(=O)O.CN.CN
        7   000318         1      6426                                                 C(=O)O.CN.CO
        7   000319         3      6429                                                 C(=O)O.CNC=O
        7   000320         1      6430                                                 C(=O)O.CO.CO
        7   000321         1      6431                                               C(C(=O)N)N.C=C
        7   000322         1      6432                                               C(C(=O)N)N.C=N
        7   000323        44      6476                                               C(C(=O)N)N.C=O
        7   000324         1      6477                                                C(C(=O)N)N.CC
        7   000325        74      6551                                                C(C(=O)N)NC=O
        7   000326         1      6552                                                C(C(=O)O)NC=O
        7   000327        10      6562                                               C(C(C(=O)N)N)O
        7   000328         7      6569                                                C(C=O)C(C=O)N
        7   000329         1      6570                                                 C(C=O)N.CC=C
        7   000330         8      6578                                                 C(C=O)N.CC=O
        7   000331         2      6580                                                  C(C=O)N.CCC
        7   000332         3      6583                                                  C(C=O)N.CCN
        7   000333         1      6584                                                  C(C=O)N.CCO
        7   000334         9      6593                                                C(CC(=O)N)C=O
        7   000335         6      6599                                                 C(CC(=O)N)CN
        7   000336         1      6600                                                 C(CC(=O)N)CS
        7   000337         5      6605                                                C(CC(=O)O)C=O
        7   000338         6      6611                                                 C(CC(=O)O)CN
        7   000339        12      6623                                                  C(CC=O)CC=O
        7   000340         4      6627                                                   C(CCN)CC=O
        7   000341         7      6634                                                    C(CCN)CCN
        7   000342         3      6637                                                 C(CN)C=O.C=O
        7   000343         1      6638                                                  C(CN)C=O.CC
        7   000344         7      6645                                                  C(CNC=O)C=O
        7   000345         4      6649                                                 C(CO)C=O.C=O
        7   000346         1      6650                                                   C(CO)N.CCC
        7   000347         1      6651                                                 C(CS)C(C=O)N
        7   000348         3      6654                                                 C1CC(NC1)C=O
        7   000349         3      6657                                                 C1CCN(C1)C=O
        7   000350         1      6658                                                  C=C(CCC=O)N
        7   000351         2      6660                                                 C=C.C=O.CC=O
        7   000352        27      6687                                                  C=C.C=O.CCC
        7   000353        13      6700                                                  C=C.C=O.CCN
        7   000354         1      6701                                                 C=C.CC(=O)NC
        7   000355         2      6703                                                 C=C.CC(C=O)N
        7   000356         5      6708                                                  C=C.CC.CC=C
        7   000357        21      6729                                                  C=C.CC.CC=O
        7   000358         3      6732                                                   C=C.CC.CCC
        7   000359         1      6733                                                   C=C.CC.CCN
        7   000360         1      6734                                                   C=C.CC.CCO
        7   000361         7      6741                                                  C=C.CC=O.CN
        7   000362         2      6743                                                 C=C.CCC(=O)N
        7   000363         2      6745                                                 C=C.CCC(=O)O
        7   000364         2      6747                                                   C=C.CCC.CO
        7   000365         5      6752                                                   C=C.CCCC=O
        7   000366         2      6754                                                   C=C.CCNC=O
        7   000367         6      6760                                                  C=CC(=C)CCN
        7   000368         1      6761                                                C=CC(=C)O.C=O
        7   000369         2      6763                                                 C=CC(=C)O.CC
        7   000370        25      6788                                                  C=CC=C.CC=O
        7   000371        29      6817                                                   C=CC=C.CCC
        7   000372        12      6829                                                   C=CC=C.CCN
        7   000373         3      6832                                                   C=CC=C.CCO
        7   000374         6      6838                                                    C=CC=CCCN
        7   000375         1      6839                                                  C=CC=CO.C=O
        7   000376         1      6840                                                   C=CC=CO.CC
        7   000377         7      6847                                                  C=CCC(C=O)N
        7   000378         7      6854                                                  C=CCCC(=O)N
        7   000379         8      6862                                                   C=CCCN.C=O
        7   000380         7      6869                                                    C=CCCNC=O
        7   000381         1      6870                                                  C=CN.C=O.CC
        7   000382         1      6871                                                  C=CN.C=O.CN
        7   000383         6      6877                                                  C=CO.C=O.CC
        7   000384         2      6879                                                 C=CO.CC(=O)N
        7   000385        12      6891                                                   C=CO.CC.CC
        7   000386         5      6896                                                   C=CO.CC.CN
        7   000387         1      6897                                                 C=N.C=O.CC=O
        7   000388         2      6899                                                  C=N.C=O.CCC
        7   000389         2      6901                                                  C=N.C=O.CCN
        7   000390         1      6902                                                 C=N.CC(=O)NC
        7   000391         3      6905                                                  C=N.CC.CC=O
        7   000392         3      6908                                                  C=N.CC=O.CN
        7   000393         2      6910                                                   C=N.CCNC=O
        7   000394         2      6912                                                 C=O.C=O.CC=O
        7   000395        28      6940                                                  C=O.C=O.CCC
        7   000396         7      6947                                                  C=O.C=O.CCN
        7   000397         5      6952                                                  C=O.C=O.CCO
        7   000398        11      6963                                                C=O.CC(=C)C=C
        7   000399        67      7030                                                 C=O.CC(=O)NC
        7   000400         1      7031                                                  C=O.CC(C)CN
        7   000401        27      7058                                                 C=O.CC(C=O)N
        7   000402         1      7059                                                  C=O.CC(CN)O
        7   000403        21      7080                                                  C=O.CC.CC=C
        7   000404        64      7144                                                  C=O.CC.CC=O
        7   000405       103      7247                                                   C=O.CC.CCC
        7   000406        44      7291                                                   C=O.CC.CCN
        7   000407        16      7307                                                   C=O.CC.CCO
        7   000408         2      7309                                                  C=O.CC=C.CN
        7   000409         1      7310                                                  C=O.CC=C.CO
        7   000410         7      7317                                                  C=O.CC=CC=C
        7   000411         7      7324                                                  C=O.CC=O.CN
        7   000412         2      7326                                                  C=O.CC=O.CO
        7   000413        30      7356                                                 C=O.CCC(=O)N
        7   000414         1      7357                                                  C=O.CCC(C)C
        7   000415        29      7386                                                   C=O.CCC.CN
        7   000416         9      7395                                                   C=O.CCC.CO
        7   000417        37      7432                                                   C=O.CCCC=O
        7   000418         2      7434                                                    C=O.CCCCN
        7   000419         8      7442                                                   C=O.CCN.CN
        7   000420         4      7446                                                   C=O.CCN.CO
        7   000421        74      7520                                                   C=O.CCNC=O
        7   000422         8      7528                                                   C=O.CCO.CN
        7   000423         2      7530                                                   C=O.CCO.CO
        7   000424         1      7531                                                   C=O.CNCC=O
        7   000425         1      7532                                               C=O.c1cnc[nH]1
        7   000426         1      7533                                                 CC(=C)N.CC=O
        7   000427         6      7539                                                 CC(=O)N.CC=C
        7   000428        57      7596                                                 CC(=O)N.CC=O
        7   000429        18      7614                                                  CC(=O)N.CCC
        7   000430        11      7625                                                  CC(=O)N.CCN
        7   000431         1      7626                                                  CC(=O)N.CCO
        7   000432        75      7701                                                  CC(=O)NCC=O
        7   000433        10      7711                                                   CC(=O)NCCO
        7   000434         3      7714                                                  CC(=O)O.CCC
        7   000435         3      7717                                                  CC(=O)O.CCN
        7   000436        73      7790                                                 CC(C(=O)NC)N
        7   000437         7      7797                                                 CC(C(C=O)N)O
        7   000438        11      7808                                                 CC(C)C(C=O)N
        7   000439         1      7809                                                  CC(C)C.CC=O
        7   000440         2      7811                                                   CC(C)C.CCC
        7   000441        11      7822                                                 CC(C)CC(=O)N
        7   000442         9      7831                                                   CC(C)CCC=O
        7   000443        11      7842                                                   CC(C)CNC=O
        7   000444         1      7843                                                   CC(C)O.CCC
