       #NI      #im       #nc       #ic                                                      #SMILES
        7   000248         4       922                                                  C=CCC(C=O)N
        7   000249         4       926                                                  C=CCCC(=O)N
        7   000250         2       928                                                   C=CCCN.C=O
        7   000251         4       932                                                    C=CCCNC=O
        7   000252         1       933                                                  C=CO.C=O.CN
        7   000253         2       935                                                 C=CO.CC(=O)N
        7   000254         1       936                                                   C=CO.CCC=O
        7   000255         1       937                                                   C=CO.CNC=O
        7   000256         2       939                                                  C=O.C=O.CCN
        7   000257         1       940                                                  C=O.C=O.CCO
        7   000258         1       941                                                C=O.CC(=C)C=C
        7   000259         7       948                                                 C=O.CC(=O)NC
        7   000260         4       952                                                 C=O.CC(C=O)N
        7   000261         1       953                                                   C=O.CC.CCC
        7   000262         2       955                                                  C=O.CC=CC=C
        7   000263         3       958                                                  C=O.CC=O.CN
        7   000264         1       959                                                  C=O.CC=O.CO
        7   000265         2       961                                                 C=O.CCC(=O)N
        7   000266         1       962                                                   C=O.CCC=CN
        7   000267         1       963                                                   C=O.CCCC=O
        7   000268         2       965                                                   C=O.CCN.CN
        7   000269         1       966                                                   C=O.CCN.CO
        7   000270        10       976                                                   C=O.CCNC=O
        7   000271         1       977                                                   C=O.CCO.CN
        7   000272         3       980                                                   C=O.CCO.CO
        7   000273         1       981                                                 C=O.CN(C)C=O
        7   000274         1       982                                                 CC(=C)C=CC=C
        7   000275         1       983                                                 CC(=O)N.CC=C
        7   000276         6       989                                                 CC(=O)N.CC=O
        7   000277         9       998                                                  CC(=O)NCC=O
        7   000278         2      1000                                                   CC(=O)NCCO
        7   000279         1      1001                                                  CC(=O)O.CCN
        7   000280         8      1009                                                 CC(C(=O)NC)N
        7   000281         2      1011                                                 CC(C(C=O)N)O
        7   000282         7      1018                                                  CC(C=O)NC=O
        7   000283         2      1020                                                 CC(CC(=O)N)O
        7   000284         1      1021                                                   CC(CN)O.CO
        7   000285         2      1023                                                   CC(CNC=O)O
        7   000286         1      1024                                                 CC.CC(=C)C=C
        7   000287         1      1025                                                  CC.CC(=O)NC
        7   000288         1      1026                                                   CC.CC.CC=O
        7   000289         1      1027                                                   CC.CC=CC=C
        7   000290         1      1028                                                   CC.CC=O.CO
        7   000291         1      1029                                                    CC.CCNC=O
        7   000292         2      1031                                                    CC.CCO.CO
        7   000293         1      1032                                                   CC=C.CNC=O
        7   000294         3      1035                                                   CC=O.CCC=C
        7   000295         1      1036                                                   CC=O.CCC=O
        7   000296         1      1037                                                   CC=O.CN.CN
